clean_text,severity
ive coughing lot feeling incredibly chilly exhausted pretty high fever difficult breathe ive perspiring lot generally feeling weak ill ive quite thick black phlegm,2
im worried rash skin spreading rapidly causing lot discomforts hardly sleep night itching,1
starting develop tiny red spots face neck area itches touch itching making day uncomfortable,1
body ive scratching much skin become red developed pimples additionally occasionally get nodules resemble little pimples well strange patches different hue rest skin,1
ive trouble falling asleep rashs pain itching skin fingers starting peel nails tiny cracks really worrying,0
ive feeling really drained cold cant stop coughing hurts chest heart feels like racing mucus im coughing gross brownish color,2
ive high fever past days dont know whats causing also noticed rashes skin hard resist scratching,1
difficulty breathing especially physical activity unusual sweating flushing frequently get yeast infections,1
feeling depressed irritable noticed change vision,1
skin horrible rash absolutely nonheritable blackheads pusfilled pimples abound addition skin quite sensitive,0
experiencing muscle pain makes difficult move around lost apetite feel vomiting legs back pain lot,1
rashes around nose large red sores noticed rash spreading parts body also high fever every night,1
ive unhealthy rash skin latterly filled pusfilled pimples blackheads skin additionally scurring heaps,0
periodically tingling throat poor breath bad taste mouth make difficult swallow meals,1
ive lot problems itching accompanied rash seems getting worse time also patches skin different colors rest ive noticed bumps look like little nodes,1
ive chills lethargy cough high temperature difficulties breathing lately ive sweating profusely generally feeling ill weak ive also quite thick black phlegm,2
blood urine low fever head hurts almost time get strong uncontrollable urges pee pain lower back also,1
ive struggling severe back pain dry cough limb weakness ive feeling lightheaded wobbly feet neck hurts,1
ive feeling really exhausted sick stomach ive really bad cough throat hurt lot ive experienced substantial sinus pressure congested nose im really unpleasant worn,0
sores around nose surrounded red inflamed skin rash caused skin become dry flaky visible yellow colored fluid coming sores,1
skin rash several pusfilled pimples blackheads bothering lately additionally skin scurring lot,0
ive finding incredibly difficult recently use restroom go sporadically hurts much anus surrounding region also quite painful anus feels really aggravated stool extremely bloody,1
ive feeling extremely scratchy sick worn addition ive lost weight temperature urine dark skin turned yellow additionally experiencing stomach pain,1
ive feeling extremely scratchy sick worn addition ive lost weight temperature urine dark skin turned yellow additionally experiencing stomach pain,1
indigestion heartburn frequently vomit everything eat hard swallow since food gets caught throat upper abdomen discomfort,1
addition sleepiness ive trouble breathing due persistent cough ive coughing lot thick mucoid sputum high fever,1
feel nauseous chest pain recently experiencing chest pain feel uneasy often sweat profusely,1
frequently heartburn indigestion particularly consuming spicy fatty foods lie stoop chest discomfort worsens chest hurts quite bit,1
ive experiencing intense itchiness nausea exhaustion also high fever lost weight skin urine become yellow additionally stomach hurts,1
experiencing frequent headaches blurred vision excessive appetite sore neck sadness irritability digestive problems including indigestion acid reflux,1
overweight noticed legs swollen blood vessels visible usual swelling seems getting worse time,1
ive experiencing lot bowel movement issues recently difficult go hurts anus quite painful bleeding whenever go excruciatingly painful im quite uneasy,1
felt good woke morning day wore began feel headachey sick stomach dizzy since challenging concentrate focus work,2
ive exhausted experiencing nausea itching addition ive lost weight temperature urine dark skin turned yellow additionally ive stomach pain,1
back pain productive cough muscle weakness bothering issues dizziness uneven balance neck hurts,1
sores face beginning weep clear fluid also every night get high fever chills cannot sleep night,1
experiencing back pain worse sit stand long time also rashes body pain behind eyes,1
keep sneezing im miserable exhausted lot gunky things nose throat throat really hurting neck also feels puffy swollen,0
developed really nasty rash skin tons blackheads pimples filled pus skin also really scurrying,0
ive felt terribly weak drained ive also cough wont go away fever exceptionally high challenging try catch breath ive creating lot mucous cough,1
ive rashes face im developing little sores around nose yellow ooze frequently oozing lesions become even painful,1
constantly sneeze dry cough infections dont seem healing palpitations throat ache occasionally usually gets better,1
ive wheezing lot generally feeling sick exhausted throat feels really scratchy lot gross stuff flowing nose neck also feels bloated,0
constantly dry cough infections dont seem healing palpitations throat hurts occasionally appear get better,1
veins calves become prominent causing discomfort cant stand long periods time causes pain legs similar cramps,1
diarrhea quite fluid smelly accompanied severe abdominal pain headache time feel like vomiting,1
energy lost appetite im feeling really sick dont know whats wrong,1
abdominal pain frequent really painful constipation vomiting also occurred im quite worried health,1
sore throat sneezing time sometimes swelling face like lips near eyes cant stop sneezing start sneezing,1
constipation made quite difficult use restroom stool bloody go hurts addition anus quite itchy inflamed ive experiencing butt soreness,1
strong itchiness chills nausea high temperature plaguing besides headache im also perspiring lot ive suffering severe muscle pain nausea,1
ive scratchy stomach throwing also lost weight really exhausted high fever yellow skin well stomach pain,1
pee strong odour hazy look since symptoms started ive high temperatures frequent nighttime urges urinate,1
neck extremely tight muscles feeling extremely weak joints swollen ive walking around lot stiffness additionally walking extremely uneasy,1
im constantly sneezing cold making body tremble im exhausted hardly move head hurts fever quite high,0
chest pain severe nausea present recently chest hurting tremble lot quite anxious,1
lately ive experiencing skin rash lot pusfilled pimples blackheads skin also scurring lot,0
experiencing acidity indigestion headaches blurred distorted vision well excessive hunger stiff neck depression irritability visual disturbance symptoms affecting daily life causing discomfort,1
skin merely developed uninherited rash lot pusfilled pimples blackheads furthermore skin quite sensitive,0
feel muscles trembling shaking feel worn senses taste smell diminished sometimes palpitations quick heartbeat,1
neck really stiff ive terrible muscle weakness due swelling joints challenging move walking quite unpleasant,1
unintentionally lose weight find challenging gain back relieve pain discomfort feel take antacids mouth hurts severely right,1
im worried red spots skin spreading rapidly causing lot problems also developed mild fever headache every night,1
ive experiencing lot bowel movement issues recently difficult go hurts anus quite painful bleeding whenever go really painful im really uncomfortable,1
along headpain chest pain instability balance issues ive also feeling unwell also think im problems focusing,2
ive also experiencing diarrhea constipation really worrying feels like sharp stabbing pain belly area feel tired time,1
neck really tight muscles rather weak swelling joints make hard move without getting stiff additionally walking quite unpleasant,1
ive recently experiencing severe skin rash blackheads pimples packed pus everywhere additionally skin scurring lot,0
ive experiencing intense itching chills vomiting high fever im also sweating lot headache nausea muscle pain making feel miserable,1
rashes skin itch touch dont feel good joints pain whole day night mild fever get chills cant sleep,1
mouth throat dry additionally ive growing increasingly hungry however get periodic bouts exhaustion,1
chills shivering experiencing accompanied feeling coldness high fever also developed rashes arms red spots neck,1
skin peeling especially knees elbows scalp peeling often accompanied burning stinging sensation,0
rash face become painful inflamed past days sores beginning weep clear fluid getting extremely painful day,1
along chronic cough limb weakness ive dealing excruciating back discomfort ive experiencing neck pain well vertigo instability,1
doctor red rashes keep popping skin continuously itching addition ive observed odd colordifferent spots skin well little nodules skin appear expanding,1
suffer migraines headaches ive trouble falling asleep muscles trembling twitching sometimes feel dizzy,1
ive itchy throwing along losing weight im also really exhausted skin turned yellow fever high additionally get stomach ache dark urine,1
mouth filled sour acidic flavour burping belching frequent hours get pressure fullness upper belly,1
along eyesight problems increased appetite sore neck melancholy irritability regular headaches also experiencing acid reflux indigestion frequent dizziness regular activities made tough symptoms causing great deal distress,1
ive intense itching chills vomiting high fever im also sweating excessively headache nausea muscle pain also bothering,1
tongue also metallic aftertaste addition change taste scent occasionally get acute muscle joint ache,1
energy lost appetite im feeling really sick dont know whats wrong also small red spots starting show skin,1
experiencing intense back pain dry cough lack strength limbs neck hurts feeling dizzy unsteady feet,1
ive feeling scratchy throwing lost weight also really exhausted skin become yellow severe fever stomach ache black urine,1
im constantly sneezing body shaking cold im tired barely move head killing fever roof,0
ive mild fever past days starting worry fever accompanied severe headache feel weak lethargic,1
ive got cough wont go away im exhausted ive coughing thick mucous fever also pretty high,1
experienced fatigue general feeling malaise often feel tired lack energy even good nights sleep,0
struggling acid reflux indigestion headaches well blurred distorted vision excessive hunger sore neck depression irritability visual disturbance,1
along increased hunger sore neck melancholy impatience visual distortion ive also experiencing acid reflux indigestion frequent headaches blurred eyesight,1
veins legs causing lot discomforts sit long periods time swollen protruding skin making painful noticeable,1
along chest pain dizziness headache feels like narrow zone around head lot trouble,2
woke morning saw terrible rash skin blackheads pusfilled pimples place additionally skin shifting lot,0
awoke morning realised severe rash body many pusfilled pimples blackheads place skin also scurringa lot,0
legs causing lot discomforts exercise get frequent cramps blood vessels become quite noticeable,1
im suffering intense itching chills vomiting high fever ive also sweating lot headache nausea muscle pain also bothering,1
ive lot respiratory issues lately along chills exhaustion cough high temperature ive sweating profusely generally feeling ill weak chest aches heart racing rapidly,2
ive recently battling pretty itchy rash skin pusfilled pimples blackheads skin also scurringa lot,0
ive quite exhausted ill im sneezing nonstop quite cold head throbbing lack energy additionally high fever feel like fire,0
woke morning found really nasty rash skin ton blackheads pimples filled pus skin also really scurrying,0
ive quite exhausted ill throat quite painful ive fairly nasty cough ive got lot chills pretty high temperature feeling extremely run weak,0
im really hard time catching breath im sweating lot feel really sick lot mucus throat chest hurts heart racing mucus im coughing dark looks like rust,2
ive persistent stomach pain past week healing even medication feel like vomiting cant eat anything become extremely weak,1
rash particularly bad around nose large red sores painful yellow rustcolored ooze coming,1
genital skin red irritated frequently irritating burning unpleasant also rashes various places body also strange pain joints,0
doctor skin covered uncomfortable rash along odd patches different hue skin also pimples resemble little knots,1
suffering back pain hacking cough weakness arms legs additionally neck hurts issues dizziness maintaining balance,1
rash legs spreading becoming severe red inflamed itchy causing lot discomfort difficulty sleeping night,1
blurred vision seems getting worse feel fatigued tired time also feel dizzy light headed times,1
ive sneezing incessantly cant get chill go away feel weak exhausted cough wont stop temperature really high,0
abdominal pain gets worse bend lie feel discomfort eat certain foods spicy acidic food sometimes get loose stools,1
indigestion heartburn frequently vomit everything eat trouble swallowing food gets caught throat upper abdomen bothering,1
bloody stools caused lose lot things including iron bloos anaemia result typically feel rather weak,1
rare occasions pee blood mild nausea help also occasionally experience high nighttime temperatures dreadful urine odour,1
high fever chills severe itching along headache excessive sweating ive terrible nausea muscle ache,1
veins calves prominent causing lot discomforts swollen protrude skin,1
sex desire decreased im finding harder function sexually regularly brain fog feel quite dizzy disoriented,1
ive feeling really weak muscles neck really stiff joints swelling hard move around without feeling stiff walking really painful,1
rash skin spread parts body including chest abdomen itchy uncomfortable often worse night also facing skin peeling,0
skin acquired nasty rash full pusfilled pimples blackheads skin really sensitive well,0
vision foggy appears growing worse feel exhausted worn time also severe dizziness lightheadedness occasion,1
ive constant itch red bumpy spots skin also patches different color rest skin ive bumps kind like little lumps,1
ive itching lot accompanied rash looks getting worse time also patches skin different colours rest skin well lumps resemble little nodes,1
asthma like symptoms like wheezing difficulty breathing often get fever headaches feel tired time,1
headache chest pain dizziness trouble balance also hard focus concentrate,2
often wake sore throat scratchy voice throat hurts constantly also poor breath also frequently burp,1
constipated diarrheal bowel motions happening frequently lack energy appetite,1
ive lost lot stuff bloody stools including iron bloos result anaemia generally feel rather weak,1
red swollen spots body itches touch moreover also high fever headache always feel exhausted,1
urinating blood occasionally feel queasy urinating frequently almost fever time,1
along impaired seeing excessive eating sore neck melancholy impatience constant headaches ive also fighting heartburn acid reflux indigestion,1
stomach hurts frequently acquire temperature experience sudden intense cravings urinate discomfort virtually always frequently gets worse night pee nearly always smells bad,1
bowel motions really difficult recently going difficult aches go anus bleeds really uncomfortable im lot discomfort hurts extremely bad,1
seen rashes arms neck itches scratch ive also high fever days idea causing itching causing lot discomforts,1
ive recently struggled really irritating skin rash blackheads pusfilled pimples additionally skin scurring lot,0
ive encountering trouble walking headache chest pain dizziness concentration skills focus also challenging,2
ive suffering severe itching body along fever headache red spots starting swell getting really uncomfortable every day,1
im lot trouble breathing really uneasy im feeling unwell perspiring lot chest hurts lot mucus throat heart racing hue mucus im coughing,2
addition stiff neck eye issues always hungry,1
standing walking long periods time causes lot pain legs get cramps upon physical activities bruise marks legs,1
experiencing muscle pain headache muscle pain feels like constant ache worse try use affected muscles small red spots developing face neck arms,1
muscles feeling really weak neck extremely tight swollen joints find difficult move without becoming stiff also really uncomfortable walk,1
strong itchiness chills nausea high fever part current condition besides headache ive perspiring lot ive uncomfortable nausea muscle ache,1
skin acting lately becoming exceedingly itchy prone rashes furthermore several patches differ normal skin tone terms colour lumps bumps skin werent,1
along losing appetite ive swallowing issues sore throat nose running,1
ive experiencing chills feel really exhausted cough wont go away cough chest aches heart pounding disgusting brownish hue mucous im coming,2
get frequent heartburn indigestion especially eating spicy foods fatty foods get chest pain gets worse lie bend also often chest pain,1
plugged nose nasal congestion occasionally stiffness chest discomfort night ive also lost ability smell taste,1
skin developed terrible rash inherited lot blackheads pusfilled pimples furthermore skin exceedingly sensitive,0
skin calves become inflamed red legs hurt try run physical activities,1
ive really itchy lately rashy spots skin also areas dont look like normal color skin ive bumps kind hard,1
bowel motions changed theyve constipated diarrhoeal lack energy appetite frequently feel really exhausted,1
skin breaking terrible rash lately blackheads pusfilled pimples abound additionally skin scurring lot,0
urine often weird odour crimson black colour bodys temperature fluctuating often typically keeps night,1
throat often feels like fire especially eating occasionally get aftertaste sour bitter makes feel nauseous,1
get wheezing breathing difficulties asthma symptoms frequently headaches fever im continuously exhausted,1
suffering back pain dry cough lack strength muscles neck sore feeling dizzy unsteady feet,1
taking walk suddenly started experiencing headache chest pain dizziness feeling fine day since challenging concentrate focus,2
ive getting lot bowel issues recently difficult go hurts anus quite painful bleeding whenever go excruciatingly painful im quite uneasy,1
recently try walk stiffness stiff neck swollen joints muscular weakness walking also really uncomfortable,1
enduring frequent headaches blurred vision excessive appetite sore neck anxiety irritability digestive difficulties including indigestion acid reflux,1
skin really scratchy rashes body bumps quite firm well areas darker shade rest skin extremely unpleasant,1
pee strong unpleasant scent hazy appearance since symptoms started appearing regularly feel desire urinate night experiencing high temperatures,1
cant seem catch breath im sweating lot feel really sick lot phlegm throat chest hurts heart racing mucus im coughing yellowish,2
ive experiencing lot scratching chills vomiting fever also headache perspiring lot additionally hurting nausea muscle soreness,1
skin really itchy rashy spots also patches look different color rest skin ive bumps kind hard,1
hey ive dry cough breathing difficulties well high fever lot mucous produced feel incredibly weak tired,1
frequently feel want urinate frequently strong cravings frequently feel woozy bewildered ive also sight loss,1
im feeling bloated uneasy ive losing weight longer like eating occasionally get tarry black stools blood vomit,1
feeling nauseous constant urge vomit accompanied mild fever headache,1
mouth filled acidic sour flavour burping belching frequent hours upper abdomen felt pressured full,1
nasal congestion blocked nose occasion night stiffness chest pain ive also lost senses taste smell,1
back discomfort persistent cough weakness limbs bothering issues vertigo losing equilibrium neck hurts,1
ive rather itchy recently rashy blotches skin also certain regions dark color rest skin ive got painful lumps,1
must admit high fever persistent cough shortness breath addition ive coughing lot thick mucoid saliva ive feeling really depleted worn,1
vision foggy seems growing worse im constantly feeling worn exhausted additionally occasionally severe lightheadedness dizziness,1
urine frequently black red really strange odour experiencing temperature changes regularly usually prevents sleeping night,1
feeling extremely tired fatigued energy anything developed rashes neck itch upon touching,1
swollen lymph nodes red spots body causing discomfort also mild fever feel tired time,1
experiencing extreme belly pain constipation every night severe fever along chills headaches last couple days really uncomfortable,1
im feeling fatigued energy barely keep eyes open day ive feeling lethargic unable motivate,1
im trouble breathing really uncomfortable im sweating profusely lot mucus throat chest aches heart racing im coughing dark mucous,2
feeling extremely tired weak ive also coughing lot difficulty breathing fever high im producing lot mucus cough,1
cant stop sneezing nose really runny im also really cold tired time ive coughing lot fever really high like way normal,0
prominent blood vessels calves causing selfconsciousness embarrassment believe problem overweight,1
woke morning find really nasty rash skin ton blackheads pimples filled pus skin also really scurrying,0
ive experiencing high fever especially night really uncomfortable mild headache along constipation diarrhea,1
neck tight muscles felt quite weak recently tough behalf maneuver around changing stiff thanks swollen joints walking additionally uncomfortable,1
skin swollen itchy may occasionally flake hurts lot cheeks lips swell occasionally get headaches watery eyes puffing,1
ive trouble going restroom recently try go really uncomfortable anus hurts lot ive also blood stool anus really uncomfortable,1
increased thirst frequent urination often dry mouth throat recently increased hunger appetite,1
since ive constipated using restroom quite challenging go aches ive blood stool anus quite itchy irritating ive also experiencing discomfort butt,1
ive constipation bowel motions hurt recently go anus bleeds really uncomfortable im lot discomfort hurts extremely bad,1
ive feeling awful lot congestion runny nose ive coughing lot lot chest pain fever really high ive experiencing severe muscular discomfort,0
swelling legs gotten worse past weeks causing difficulty fitting shoes also causing discomfort sit long periods time,1
vomiting frequently lost appetite result rashes skin eyes pain cannot sleep properly,1
high temperature vomiting chills severe itching addition ive perspiring lot headache ive also bothered nausea muscle ache,1
occasionally urinate blood occasionally feel queasy help also occasionally get high temps night terrible odour coming pee,1
discovered significant rash body morning blackheads pusfilled pimples proliferating skin scurrying lot,0
days ago experienced tiny rash around nose rash accompanied burning feeling skin redness discharge fluid believe sort infection,1
feeling disoriented dizzy also trouble keeping balance headache constant presence well,2
bloating feeling uneasiness experiencing weight loss loss appetite sometimes dark tarry stools blood vomit,1
ive feeling lousy high temperature shortness breath sweating chills extreme weariness heart beating ive coughing lot brownish phlegm,2
high temperature shortness breath sweating chills intense exhaustion ive feeling quite poorly ive coughing lot brownish phlegm pulse rate racing,2
sore throat lot sneezing times skin around eyes lips swell find start cannot stop,1
hairs texture significantly changed im experiencing hair loss scalp dry itching dandruff becoming worse skin also becoming really dry,1
strong itchiness nausea bothering also lost weight really exhausted high fever skin becoming yellow addition feeling stomach ache pee black,1
muscles quite weak ive coughing phlegm along significant back discomfort addition feeling weak disoriented neck hurting,1
recently muscles neck become tight weak since joints matured difficult american government run without becoming stiff walking also quite unpleasant,1
ive feeling really cold tired lately ive coughing lot chest pain heart beating really fast cough phlegm kind rusty color,2
developed really nasty rash skin tons blackheads pimples filled pus skin also really scurrying,0
pain bladder getting,1
ive trouble sleeping itching pain produced rash nails little dents really alarming moreover joints pain everyday idea causing,0
recently ive feeling terrible fever roof ive persistent cough breathing problems ive coughing lot phlegm also feeling quite weary dealing symptoms quite difficult,1
im dizzy nauseated shaky im trouble breathing since throat swollen occasion throughout night chest hurts feel sick,1
throat often feels like burning especially eating bitter sour aftertaste occasionally experience also makes feel unwell,1
back pain persistent cough numbness arms legs bothering neck hurts ive feeling lightheaded unsteady,1
severe itching vomiting also tired lost weight fever high skin turned yellow urine dark experiencing abdominal pain,1
noticed cramps calves becoming frequent intense causing lot discomforts also overweight legs started swell,1
small red spots body cant explain bumps itchy uncomfortable seem spread rapidly worrying,1
lately ive experiencing constipation pain bowel movements anus really sore bleeding go really painful im really uncomfortable,1
skin irritated inflamed sometimes flake lips cheeks expand really unpleasant puffing occasionally headaches wet eyes,1
experiencing severe back pain cough comes goes weakness limbs neck also hurts feeling dizzy balance,1
lots itchy spots skin sometimes turn red bumpy also weird patches different colors rest skin sometimes get weird bumps look like little balls,1
feel though acid food backing throat chest hurts lying makes worse eating frequently heartburn indigestion throw,1
im shaking trembling ive lost sense taste smell im exhausted occasionally get palpitations speeding heart,1
along intense scratching chills nausea high fever ive also feeling really unwell along headache excessive sweating ive suffering severe muscle pain nausea,1
neck extremely tight muscles feeling extremely weak difficult move around without becoming stiff due swollen joints walking also extremely uncomfortable,1
always feel exhausted bad taste extremely scratchy throat also muscular pain heat entire body simply cramps occasionally,1
ive experiencing severe weariness sickly sensation throat really painful ive fairly severe cough nose quite stuffy ive significant sinus pressure im really miserable extremely exhausted,0
frequent need urinate often uncontrollable urges feel dizzy often confused also loss visuals,1
ive severe itching chills vomiting high fever im also sweating excessively headache nausea muscle pain also causing lot discomfort,1
emotions change difficulties focusing times mind might cloudy hazy making challenging even simple tasks,1
bowel movements become constipated diarrheal often feel quite tired lack energy appetite,1
high fever severe itching chills vomiting also headache perspiring lot additionally hurting nausea muscle soreness,1
ive high temperature vomiting chills intense itching also headache perspiring lot im queasy muscles hurt lot,1
occasionally trouble swallowing food tingling throat terrible breath bad taste mouth,1
ive lot trouble bowel movements lately hard go hurts anus really sore bleeding go really painful im really uncomfortable,1
ive high fever chills intense itching addition headache perspiring lot ive suffering nausea well muscle ache,1
pee looks cloudy storng foul smell frequently get urge urinate night getting high temperatures since symptoms strted showing,1
ive experiencing shortness breath persistent cough high fever ive also producing lot thick mucoid sputum im feeling drained exhausted hard deal,1
ive tendency itching skin frequently turns rash also strange patches skin different tone rest myskin regularly get little lumps mimic nodules,1
instantly experienced headache chest pain dizziness working since challenging keep balance,2
headache experiencing severe accompanied feeling pressure head mild fever along headache small red spots back,1
high fever really weak face gotten sores blisters itchy painful yellow ooze frequently leaks wounds,1
skin rash causing great deal pain also small red spots developing near neck since yesterday severe fever headache fatigue,1
skin rash developed accompanied redness swelling dont feel well severe fever accompanied body pain,1
suffering back pain productive cough weakness limbs neck sore issues dizziness balance,1
long durations standing walking caused severe discomfort legs burning ache gets worse longer im feet,1
red sores face near nose noticed rash spreading quickly neck chest,1
experiencing lot nausea vomiting quite difficult eat anything ive entirely lost appetite result become quite weak,1
high fever red sores developing near nose sores painful yellow rustcolored ooze coming,1
ive dealing really nasty rash skin lately covered blackheads pimples packed pus skin also really scurrying,0
recently calves cramping frequently especially walking standing long periods time also veins noticeable,1
feel queasy nauseous dizzy swelling throat breathing issues occasionally chest discomfort nausea night,1
ive frequent strong sudden urges urinate occasionally urinate blood stench horrible ought think im infected,1
hunger appetite persistent ravenous periodically stomach may cramp spasm eating bloating gas makes quite uncomfortable,1
dont feel like eating swallowing challenging even little meals frequently get lingering sensation fullness normal symptoms include nausea heartburn tingling throat,1
heartburn indigestion regularly vomit everything eat food gets stuck throat making difficult swallow pain upper abdomen,1
ive experiencing severe body itchiness along chills nausea ive perspiring lot extremely high fever feel sick stomach headache muscles hurting lot,1
skin changed less sensitive sensitive skin silvery coating especially back elbows knees,0
ive itchy throwing along losing weight im also really exhausted skin turned yellow fever high stomach also hurting recently,1
cramps calves making difficult walk feel fatigued working time believe obesity reason behind,1
ive struggling fatigue constant cough thats making difficult breathe fever high ive coughing lot thick mucoid sputum,1
initially developed small red sores near nose neck high fever sores become painful inflamed past days,1
cant stop sneezing im exhausted sick throat really uncomfortable lot junk nose throat neck also swollen puffy,0
nose runs sneeze lot eyes wet hurt cough time head aches constantly,1
experiencing chills shivering despite warm environment back pains time red spots arms,1
strong itchiness chills nausea high temperature plaguing along headache im also perspiring lot ive also bothered nausea muscle ache,1
along excessive appetite stiff neck depression impatience visual disturbance ive also indigestion headaches blurred vision acid reflux symptoms bothering interfering usual activities,1
developed skin rashes made blistering sores blistering sores raised fluidfilled lesions painful touch also suffering high fever,1
ive really itchy lately rashy spots skin also areas look different shade rest skin ive bumps kind hard,1
im hard time breathing feel really uncomfortable im sweating lot theres lot phlegm throat chest hurts heart beating fast mucus im coughing brownish,2
getting blood pee sometimes get nauseous peeing often almost coincides high temperature,1
itchy red skin sometimes result flaking face lips puff causes lot inconvinience get watery eyes sometimes headches puffing gets severe,1
addition recurrent headaches blurred vision increased appetite stiff neck sadness irritability visual disturbance stomach problems including indigestion acidity,1
along headache chest pain instability balance issues ive also feeling dizzy also think im problems focusing,2
longer want sex difficult regularly brain fog sense confusion,1
ive suffering severe constipation lately whenever go restroom hurts lot aside anus really itchy ive observed blood stool,1
days ive suffering headache chest pain today dizziness lack balance got considerably worse,2
morning realized major rash body lots pimples filled pus blackheads everywhere skin scurrying lot,0
ive constipated really hard go bathroom go hurts stool bloody ive also pain butt anus really itchy irritated,1
woke today find major rash body lots pimples filled pus blackheads everywhere skin scurrying lot,0
especially eating throat frequently feels scorching occasionally get bitter sour aftertaste makes feel sick,1
legs skin around veins unusual appears large bruise nowadays get frequent cramps sprint run,1
silver like dusting skin moreover skin arms back starting peel strange really concerning,0
ive sneezing nonstop cant seem shake chill im feeling really weak tired cough wont go away fever really high,0
woke morning find terrible rash body blackheads pusfilled pimples place additionally skin changinga lot,0
ive persistent headache past week getting worse accompanied belly aches constipation diarrhea,1
bruising legs cannot explain see strange blood vessels skin also slightly obese really worried,1
high fever every night developed sores face particularly near nose noticed sores taking longer heal prone infection,1
metallic taste mouth also sense change taste smell sometimes get unbearable joint pain muscle pain,1
